id,deal_type,furnishing,property_type,bedrooms,state,locality,google_address,project,address,area,area_unit,price_raw,price_unit,price,deposit_raw,deposit_unit,deposit,contact,url,description
listing-001,Sell,Furnished,Apartment,2,Goa,Panaji,"Panaji, Goa","Project A","123 Beach Road, Panaji",1200,Sq Ft,30,lakh,3000000,3,lakh,300000,9876500001,https://example.com/l/1,"2BHK furnished, near beach"
listing-002,Sell,Semi-Furnished,Apartment,3,Maharashtra,Bandra,"Bandra West, Mumbai","Project B","45 Hill Rd, Bandra",1500,Sq Ft,2,crore,20000000,5,lakh,500000,9820011122,https://example.com/l/2,"3BHK semi-furnished, close to station"
listing-003,Sell,Un-Furnished,Apartment,2,Gujarat,Satellite,"Satellite Rd, A'bad","Project C","12 Market St, Satellite",950,Sq Ft,45,lakh,4500000,2.5,lakh,250000,9900099000,https://example.com/l/3,"2BHK, near shopping"
listing-004,Rent,Un-Furnished,1RK,1,Kerala,Eloor,"Eloor, Kochi","Project D","Block 7, Eloor",400,Sq Ft,12,lakh,1200000,0.5,lakh,50000,9712345678,https://example.com/l/4,"1RK for small family"
listing-005,Sell,Furnished,Villa,3,Delhi,South Delhi,"South Delhi","Project E","Plot 9, South Delhi",1600,Sq Ft,1.5,crore,15000000,10,lakh,1000000,9800000001,https://example.com/l/5,"Luxury villa with garden"
listing-006,Sell,Furnished,Apartment,2,Karnataka,Whitefield,"Whitefield, Bengaluru","Project F","Tech Park Road, Whitefield",1100,Sq Ft,65,lakh,6500000,4,lakh,400000,9999888877,https://example.com/l/6,"2BHK near IT park"
listing-007,Sell,Semi-Furnished,House,4,Uttar Pradesh,Alambagh,"Alambagh, Lucknow","Project G","House 77, Alambagh",2200,Sq Ft,85,lakh,8500000,8,lakh,800000,9888777666,https://example.com/l/7,"Spacious 4BHK with terrace"
listing-008,Rent,Un-Furnished,Apartment,2,Haryana,Sector 56,"Gurgaon Sector 56","Project H","Tower 5, Sec 56",1000,Sq Ft,55,lakh,5500000,3,lakh,300000,9777666555,https://example.com/l/8,"2BHK apartment"
listing-009,Sell,Furnished,Apartment,3,Maharashtra,Viman Nagar,"Viman Nagar, Pune","Project I","Plot 2, Viman Nagar",1400,Sq Ft,70,lakh,7000000,4,lakh,400000,9666555444,https://example.com/l/9,"3BHK near IT park"
listing-010,Sell,Un-Furnished,Apartment,2,Bihar,Kankarbagh,"Kankarbagh, Patna","Project J","Block C, Kankarbagh",900,Sq Ft,25,lakh,2500000,1.5,lakh,150000,9555444333,https://example.com/l/10,"Budget 2BHK"
listing-011,Sell,Semi-Furnished,Apartment,3,Rajasthan,Vaishali Nagar,"Vaishali Nagar, Jaipur","Project K","Street 12, Vaishali Nagar",1300,Sq Ft,60,lakh,6000000,3,lakh,300000,9444333222,https://example.com/l/11,"Family friendly 3BHK"
listing-012,Sell,Furnished,Apartment,2,Punjab,Model Town,"Model Town, Amritsar","Project L","Sector 5, Model Town",1000,Sq Ft,40,lakh,4000000,2,lakh,200000,9333222111,https://example.com/l/12,"Modern 2BHK, furnished"
listing-013,Sell,Un-Furnished,Apartment,1,Odisha,Sahid Nagar,"Sahid Nagar, Bhubaneswar","Project M","Lane 3, Sahid Nagar",480,Sq Ft,8,lakh,800000,0.5,lakh,50000,9222211100,https://example.com/l/13,"Cozy 1BHK, good locality"
listing-014,Sell,Semi-Furnished,Apartment,3,West Bengal,Salt Lake,"Salt Lake, Kolkata","Project N","Sector III, Salt Lake",1350,Sq Ft,50,lakh,5000000,3,lakh,300000,9111100009,https://example.com/l/14,"3BHK with good light"
listing-015,Sell,Un-Furnished,Apartment,2,Telangana,Gachibowli,"Gachibowli, Hyderabad","Project O","Tech District, Gachibowli",1050,Sq Ft,48,lakh,4800000,2.5,lakh,250000,9000099998,https://example.com/l/15,"2BHK near IT campus"
listing-016,Sell,Furnished,Apartment,2,Madhya Pradesh,Vijay Nagar,"Vijay Nagar, Indore","Project P","Apt 21B, Vijay Nagar",980,Sq Ft,28,lakh,2800000,1.5,lakh,150000,8899988887,https://example.com/l/16,"2BHK furnished"
listing-017,Sell,Un-Furnished,Apartment,3,Gujarat,Udhna,"Udhna, Surat","Project Q","Plot 33, Udhna",1250,Sq Ft,32,lakh,3200000,2,lakh,200000,8777776666,https://example.com/l/17,"3BHK near industrial area"
listing-018,Sell,Semi-Furnished,Apartment,2,Assam,Panbazar,"Panbazar, Guwahati","Project R","Market Rd, Panbazar",850,Sq Ft,18,lakh,1800000,1,lakh,100000,8666665555,https://example.com/l/18,"2BHK near market"
listing-019,Sell,Un-Furnished,Apartment,2,Goa,Mapusa,"Mapusa, Goa","Project S","Main St, Mapusa",950,Sq Ft,27,lakh,2700000,1.5,lakh,150000,8555554444,https://example.com/l/19,"2BHK mapusa center"
listing-020,Sell,Furnished,Apartment,3,Gujarat,Navrangpura,"Navrangpura, Ahmedabad","Project T","Navrangpura Road, Navrangpura",1550,Sq Ft,75,lakh,7500000,4,lakh,400000,8444443333,https://example.com/l/20,"3BHK premium"
listing-021,Sell,Un-Furnished,Apartment,2,Kerala,Thampanoor,"Thampanoor, Trivandrum","Project U","Near Station, Thampanoor",920,Sq Ft,22,lakh,2200000,1,lakh,100000,8333332222,https://example.com/l/21,"2BHK near transport"
listing-022,Sell,Semi-Furnished,Apartment,3,Tamil Nadu,Adyar,"Adyar, Chennai","Project V","Besant Nagar Rd, Adyar",1450,Sq Ft,68,lakh,6800000,3.5,lakh,350000,8222221111,https://example.com/l/22,"3BHK friendly area"
listing-023,Sell,Un-Furnished,Apartment,2,Himachal,Upper Bazaar,"Upper Bazaar, Shimla","Project W","Mall Rd, Upper Bazaar",800,Sq Ft,15,lakh,1500000,0.8,lakh,80000,8111110000,https://example.com/l/23,"2BHK hill view"
listing-024,Sell,Furnished,Apartment,3,Uttar Pradesh,Sector 18,"Sector 18, Noida","Project X","Sec 18, Noida",1400,Sq Ft,58,lakh,5800000,3,lakh,300000,8000009999,https://example.com/l/24,"3BHK near mall"
listing-025,Sell,Un-Furnished,Apartment,2,Mizoram,Panthak,"Panthak, Aizawl","Project Y","Main Road, Panthak",620,Sq Ft,9,lakh,900000,0.5,lakh,50000,7999998888,https://example.com/l/25,"2BHK compact"
listing-026,Sell,Un-Furnished,Apartment,1,Bihar,Chowk,"Chowk, Gaya","Project Z","Old City, Chowk",420,Sq Ft,6,lakh,600000,0.3,lakh,30000,7888887777,https://example.com/l/26,"Small 1BHK"
listing-027,Sell,Furnished,Apartment,3,Goa,Panaji,"Panaji, Goa","Project A","Seafront Rd, Panaji",1700,Sq Ft,95,lakh,9500000,5,lakh,500000,7777776666,https://example.com/l/27,"Seafront 3BHK"
listing-028,Sell,Semi-Furnished,Apartment,2,Maharashtra,Shankar Nagar,"Shankar Nagar, Nagpur","Project B","Sector 12, Shankar Nagar",900,Sq Ft,20,lakh,2000000,1,lakh,100000,7666665555,https://example.com/l/28,"2BHK near college"
listing-029,Sell,Un-Furnished,Apartment,2,Karnataka,Gokulam,"Gokulam, Mysore","Project C","Gokulam Rd",880,Sq Ft,16,lakh,1600000,0.8,lakh,80000,7555554444,https://example.com/l/29,"2BHK good locality"
listing-030,Sell,Furnished,Apartment,3,Andhra Pradesh,MG Road,"MG Road, Vijayawada","Project D","MG Road, Vijayawada",1300,Sq Ft,45,lakh,4500000,2.5,lakh,250000,7444443333,https://example.com/l/30,"3BHK city center"
